"CurveID","Model","Parameter","Estimate"
"C036","Quadratic","poly(Time, 2, raw = TRUE)1",0.051293613340098
"C036","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000186964166927112
"C037","Cubic","(Intercept)",0.38148300381392
"C037","Cubic","poly(Time, 3, raw = TRUE)1",-0.0593450689281065
"C037","Cubic","poly(Time, 3, raw = TRUE)2",0.00426677400634555
"C037","Cubic","poly(Time, 3, raw = TRUE)3",-4.41421714942227e-05
"C037","Gompertz","N_0",0.214626632478839
"C037","Gompertz","N_max",2.67000864960107
"C037","Gompertz","r_max",0.215529952010522
"C037","Gompertz","t_lag",18.3027623148317
"C037","Quadratic","(Intercept)",-0.502903215095037
"C037","Quadratic","poly(Time, 2, raw = TRUE)1",0.0600255481839175
"C037","Quadratic","poly(Time, 2, raw = TRUE)2",-1.92924453190314e-05
"C038","Cubic","(Intercept)",0.772854727082128
"C038","Cubic","poly(Time, 3, raw = TRUE)1",-0.128870729913018
"C038","Cubic","poly(Time, 3, raw = TRUE)2",0.00821695452289245
"C038","Cubic","poly(Time, 3, raw = TRUE)3",-9.72399046794278e-05
"C038","Gompertz","N_0",0.306062222871062
"C038","Gompertz","N_max",2.73287747133478
"C038","Gompertz","r_max",0.282321113084966
"C038","Gompertz","t_lag",17.847808159321
"C038","Quadratic","(Intercept)",-1.21733319812584
"C038","Quadratic","poly(Time, 2, raw = TRUE)1",0.114876420278042
"C038","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000615806214011078
"C039","Cubic","(Intercept)",-0.979951485737816
"C039","Cubic","poly(Time, 3, raw = TRUE)1",0.0200701273959754
"C039","Cubic","poly(Time, 3, raw = TRUE)2",0.00276708473465752
"C039","Cubic","poly(Time, 3, raw = TRUE)3",-3.63260081735966e-05
"C039","Gompertz","N_0",0.445362238524872
"C039","Gompertz","N_max",2.43134166122441
"C039","Gompertz","r_max",0.240270475120132
"C039","Gompertz","t_lag",23.5457410776588
"C039","Quadratic","(Intercept)",-2.76327667432134
"C039","Quadratic","poly(Time, 2, raw = TRUE)1",0.173775690020585
"C039","Quadratic","poly(Time, 2, raw = TRUE)2",-0.00142285830769061
"C040","Cubic","(Intercept)",0.350213624760422
"C040","Cubic","poly(Time, 3, raw = TRUE)1",-0.0108960220964527
"C040","Cubic","poly(Time, 3, raw = TRUE)2",6.85080147068367e-05
"C040","Cubic","poly(Time, 3, raw = TRUE)3",-7.0442300837698e-08
"C040","Gompertz","N_0",0.0124951358118899
"C040","Gompertz","N_max",3.35514889843647
"C040","Gompertz","r_max",0.0326003627588909
"C040","Gompertz","t_lag",199.184217296941
"C040","Quadratic","(Intercept)",-0.783213647278244
"C040","Quadratic","poly(Time, 2, raw = TRUE)1",0.00695011005745424
"C040","Quadratic","poly(Time, 2, raw = TRUE)2",7.48563773021378e-07
"C041","Cubic","(Intercept)",0.0178011368711293
"C041","Cubic","poly(Time, 3, raw = TRUE)1",-0.00327971938780823
"C041","Cubic","poly(Time, 3, raw = TRUE)2",4.81513470819754e-05
"C041","Cubic","poly(Time, 3, raw = TRUE)3",-6.02564593167783e-08
"C041","Gompertz","N_0",0.0917245310656391
"C041","Gompertz","N_max",2.7858402133354
"C041","Gompertz","r_max",0.0279392369874831
"C041","Gompertz","t_lag",145.862858046119
"C041","Quadratic","(Intercept)",-0.976466466998027
"C041","Quadratic","poly(Time, 2, raw = TRUE)1",0.0112768023712326
"C041","Quadratic","poly(Time, 2, raw = TRUE)2",-7.52782567929668e-06
"C042","Cubic","(Intercept)",-0.272016758104449
"C042","Cubic","poly(Time, 3, raw = TRUE)1",0.00254828921656987
"C042","Cubic","poly(Time, 3, raw = TRUE)2",2.39472986430709e-05
"C042","Cubic","poly(Time, 3, raw = TRUE)3",-3.46547167591999e-08
"C042","Gompertz","N_0",0.0473909234057311
"C042","Gompertz","N_max",2.58180351847634
